Polarity,Text
positive,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty."
positive,Decor is charming.
positive,"Even if the food wasn't this good, the garden is a great place to sit outside and relax."
negative,"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees."
conflict,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.
positive,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights."
positive,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here."
positive,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
negative,And everytime I go there's a bunch of drunk idiots making a scene out front.
positive,They need a kick out of it but until then the sushi is pretty good and the place is consistent.
positive,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
negative,"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses."
negative,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal."
negative,"However, if you want great food at a great price and don't mind the decor, you can't beat this place."
negative,Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.
positive,The place's decor and hidden bathrooms made for a good laugh.
positive,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again."
conflict,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.
positive,This place is always very crowded and popular.
positive,"When you enter, you feel like you have entered your mom's kitchen."
negative,Interior was so so.
