Polarity,Text
positive,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
positive,I always get the Shabu-Shabu dinner and the beef is always fresh.
negative,The pizza was delivered cold and the cheese wasn't even fully melted!
positive,We were very surprised by how good the food was on our first visit here on a Sunday night.
positive,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables."
negative,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
negative,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC."
positive,The food is amazing!!!!
positive,"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues."
negative,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic."
positive,"For the price, you cannot eat this well in Manhattan."
positive,"The owner is very friendly and a great guy, go try his pizza, you'll like it!"
negative,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care."
positive,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
positive,The service is a little scatty at times but all is forgiven when the food arrives.
conflict,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen."
positive,The pickles were great addition.
negative,"If your favorite Chinese food is General Tao chicken, then this is NOT your place."
positive,You must try the shrimp appetizers.
positive,"Not only is the cuisine the best around, the service has always been attentive and charming."
positive,"The production is a symphony, alot of fun to experience.The food sublime for the most part."
negative,"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree."
positive,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.
positive,"Interesting selection, good wines, service fine, fun decor."
positive,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite."
neutral,The food at this place is 'gourmet' Indian cuisine.
positive,"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it."
positive,"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT."
conflict,"The fish was adequate, but inexpertly sliced."
negative,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount."
positive,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
positive,"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full."
neutral,It's very spicy but not offensive.
positive,The rice to fish ration was also good--they didn't try to overpack the rice.
neutral,They used shredded cheese on top!
positive,The food is great and they have a good selecion of wines at reasonable prices.
positive,I couldn't reccommend their Godmother pizza any higher.
positive,"I am not a vegetarian but, almost all the dishes were great."
positive,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!
neutral,The food is okay and the prices here are mediocre.
negative,My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).
negative,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.
positive,I would like to return and try some of the other menu items when I don't have to rush off to a show.
positive,"We have been to this place many times, and always have great food, wine, and service."
neutral,"Hopefully next time, I will save room for dessert."
positive,"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner."
positive,The corned beef was tender and melted in my mouth.
positive,"The best Chicken pad tai, I've ever had."
positive,Over 100 different choices to create your own.
positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
positive,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!"
negative,"My turkey burger was not cooked at all, my friends salmon was completely raw."
positive,"His drinks are very inventive, delicious and classy."
positive,"Great food, great prices, great service."
positive,Awsome Pizza especially the Margheritta slice.
positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
positive,"Try ordering from the regular menu, then you would not regret!"
positive,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
negative,"The crispy chicken wasn't for us, though."
positive,Food is great.
positive,There is a lot of variety even for people who eat vegetarian like me.
positive,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
positive,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
negative,I've been to several places for Dim Sum and this has got to be the WORST.
positive,"The freshest, best variety, and the fastest delivery."
positive,Go to Volare for 1st class service and terrific food.
negative,"The sandwiches are dry, tasteless and way overpriced."
positive,The fried rice is really good too.
positive,The drinks are always welll made and wine selection is fairly priced.
positive,We also had shared a house salad that was fresh.
negative,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
positive,Not a small feat for good french food in the area.
positive,Food was average but tasty.
negative,"The entree was bland and small, dessert was not inspired."
conflict,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great."
conflict,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
positive,Delicious food at a great price but do not go here on a cold day and sit by the front door.
positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
negative,Pizza was a little soggy.
positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
negative,The Singapore Mai Fun had NO curry flavor whatsoever.
positive,The wine list is interesting and has many good values.
negative,I'm still mad that i had to pay for lousy food.
positive,Definite go if you're used to good Indian restaurant food from abroad.
positive,"By far, the best pizza in Manhattan."
positive,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
positive,"The food is mostly made from scratch, fresh and well prepared."
positive,Try the sea bass.
positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
neutral,Sushi wasn't anything spectacular for the price.
positive,"So, for good food i'd recommend it, but not for a fun night out."
conflict,The menu choices are similar but the taste lacked more flavor than it looked.
positive,A must for all the Dosa lovers.
positive,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
negative,The appetizers are just OK and the main courses were decidedly subpar.
negative,Someone else recommended the dessert - we also left that.
positive,The exotic food is beautifully presented and is a delight in delicious combinations.
positive,"Try the mediterranean salad, it is a true experience for your taste buds!!"
positive,The cream cheeses are out of this world and I love that coffee!!
positive,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
negative,It was not above ordinary and the beef version had cheap (undercooked) beef.
conflict,"It was nice and fresh, but I can't give it high scores on being authentic thai."
positive,"Only wine and beer are served, but the house varities are actually quite good."
positive,My mouth starts to water merely thinking about the delight that is this restaurant.
positive,"Oh, and the complimentary pudding dessert was just enough- yummy!"
positive,we split a tasty vegetable samosa and the malai tikka wrap.
negative,Knowledge of the chef and the waitress are below average.
positive,Decent wine selection too.
positive,I have to say I have never had a disapointing meal here.
conflict,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
negative,"Disappointing food, lousy service."
positive,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place."
positive,great place to go for a drink too because they have 100 kinds of beer.
negative,"Over price, and small portions ."
positive,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
positive,The food was well prepared and the service impecable.
positive,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
negative,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
negative,But the thai is definitely not great -- bland and indistinguished.
neutral,Stuffing yourself with Japanese food is a rare thing.
positive,While the food was good (certainly no Il Mulino) the service was horrendous.
positive,Great pizza for lunch place.
positive,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
positive,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
positive,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
positive,Best dish is nori-wrapped tuna.
positive,The food was absolutely amazing!!
negative,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
positive,Mermaid Inn is an overall good restaurant with really good seafood.
negative,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
negative,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
positive,All of the pizzas are terrific and the price is even better!
negative,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
positive,The food was good too.
positive,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
positive,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
positive,The white bean brushetta to start was incredible and the pasta was phenomenal.
conflict,The rest of the menu is limited by everything is good eats.
negative,The menu is nothing like the one on the website.
positive,"Great food, great lay out and awesome service."
positive,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
positive,"They have it all -- great price, food, and service."
positive,"The flavors are great, and the menu is extensive."
positive,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
positive,The food has been consistant for years and it never lets you down.
positive,I found the variety of the sashimi plate to be satisfying - fresh and yummy.
positive,sometimes i get good food and ok service.
neutral,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
negative,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
positive,The food was spicy and delicious.
positive,A little overpriced but worth it once you take a bite.
negative,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
neutral,Dahkin also offers prix fixe lunch and buffet.
positive,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
positive,Great place to grab a hot bagel on the way to work.
negative,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
neutral,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
positive,We were looking forward to nice glass of Sangria when we arrived.
positive,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse."
positive,We've been to Grocery three times and not once has an item on the menu disappointed.
conflict,"The food is very good too but for the most part, it's just regular food, nothing special."
positive,A touch more jalapeno heat for contrast and it would have been very good indeed.
neutral,Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
conflict,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
neutral,This food is asian-air fusion.
positive,Nothing fancy but really good food with pretty reasonable price.
positive,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
conflict,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
positive,Service was good and food is wonderful.
positive,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
positive,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago."
positive,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
positive,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
positive,(Always ask the bartender for the SEASONAL beer!!!
neutral,Service and food is what any one would expect when spending that type of money.
positive,Every course was better than the next.
positive,"Apparently, the good cook works then."
positive,The Yellowtail was particularly good as well.
positive,I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
negative,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
positive,"More important, the sushi rivals the best in Tokyo."
positive,I have never had cheescake like this.
positive,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
positive,Great sushi experience.
positive,"If you're looking for a great meal at a decent price, go to Del Frisco's!"
negative,My steak au poivre was one of the worst I've had.
positive,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
positive,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
positive,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
positive,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it."
conflict,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull."
positive,Tasty but expensive.
positive,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand."
positive,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!
positive,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
positive,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
negative,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
conflict,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
negative,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
positive,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
positive,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate."
positive,The banana tower is an amazing dessert as well.
positive,"Excellent atmosphere, delicious dishes good and friendly service."
positive,A cool place to hang with your friends for a couple of healthy drinks and desserts.
conflict,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down."
negative,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
positive,Great food and the prices are very reasonable.
conflict,Wine list is not huge but def well selected.
positive,"A cool bar with great food, and tons of excellent beer."
positive,"Be sure to try the seasonal, and always delicious, specials."
positive,"Fresh, authentic, french cuisine in substantial portions."
positive,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
positive,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
positive,We had a wonderful meal at Naples 45 a month ago on a visit to NYC.
positive,Good drink.
positive,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
negative,My chow fun and chow see was really bland and oily.
positive,"I didn't take a look at the rest menu, but the oysters were fantastic."
negative,The grilled cheese at home afterwards was better.!!
positive,"Great service, great food."
positive,"The food is expensive, but worth every bite."
conflict,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
positive,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
positive,"If you love seafood, you would love this place!"
positive,Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.
positive,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night."
negative,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.
neutral,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers."
positive,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!"
positive,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch."
positive,it's the only place you can get yummy authentic japanese comfort food.
positive,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.
positive,"Largest and freshest pieces of sushi, and delicious!"
positive,Even the pasta is delicious here (a rarity in New York pizza restaurants).
negative,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section."
conflict,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful."
positive,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers."
positive,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
positive,"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's."
positive,Fish is so very fresh.
positive,The prices were CHEAP compared to the quality of service and food.
positive,"Top spot in town for Vietnamese classics, better than places that cost a lot more."
positive,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater."
positive,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away."
negative,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.
positive,They have a huge selection of different cream cheeses and all of their salads are great.
positive,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.
positive,The food was authentic.
positive,The dim sum is delectable while the prices are quite easy on the wallet.
positive,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at."
negative,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.
negative,I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.
positive,We had Pam's special fried fish and it was amazing.
positive,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.
conflict,"So, a little inconsistency there but either way, both pizzas were really good."
positive,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious."
negative,Not enough wines by the glass either.
positive,I had the duck breast special on my last visit and it was incredible.
positive,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.
positive,No gimmicks here -- the food speaks for itself in its freshness and preparation.
positive,My wife had the fried shrimp which are huge and loved it.
positive,"Everything I had was good, and I'm a eater."
negative,One should not go to Lucky Strike for the food.
neutral,We could only get through an appetizer and cheese fondue.
positive,"Try everything for that matter, it is all good."
positive,Try the green curry!!!
positive,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.
positive,"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it."
positive,The food there are sastifying.
positive,I highly recommend visiting this restaurant and having dinner and drinks!
positive,The bar is very well stocked with interesting beers and well priced wines.
positive,The food was good.
positive,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
positive,I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.
positive,I particularly love their yellowfun tuna and their mussel selection.
positive,Cheese plate is a varied delight and great bargain at $10.
negative,I could have drank 4 glasses of water and still been parched - so watch out.
positive,But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).
positive,"The steak is good, the fish is good and the sushi was surprisingly great."
positive,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi."
positive,We ended the dinner with a surprisingly light and flaky apple tarte tatin.
positive,The buffet had a nice selection.
negative,"The food was below average, the service was pathetic, there was no ambience at all."
negative,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.
positive,They are the best bagels I've had.
neutral,"$160 for 2 filets, 2 sides, an appetizer and drinks."
positive,"While the prices are nothing special, the portions are huge."
positive,"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time."
positive,"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food."
positive,The wine list is extensive and impressive.
positive,The quail was fantastic and unique and the pastas were full of flavor.
positive,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.
positive,"Aside from the rushed service, we were very impressed with the food and the drinks."
positive,Make sure you have the Spicy Scallop roll.. .
positive,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.
positive,The specials are usually quite good too.
positive,They've the best desserts and mixed drinks as well as snack foods.
positive,Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.
negative,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled."
positive,The best burger I have had in the Village.
positive,I would have gotten some cole slaw and a knish if my stomach had more space.
positive,"The blond wood decor is very soothing, the premium sake is excellent and the service is great."
positive,As always we had a great glass of wine while we waited.
neutral,For dinner I had the chicken tikka-masala and some garlic naan.
positive,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
negative,"Also, because it is so thin, it gets cold very quickly and its not that filling."
negative,The food is nothing like its menu description.
positive,Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.
neutral,It's just O.K. pizza.
neutral,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying."
positive,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
positive,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.
positive,Thius is a must for anyone who loves Shabu-Shabu.
negative,The food was absolutely horrible!
conflict,Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.
positive,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at."
positive,"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed."
neutral,"Not the greatest sushi place, but excellent for a $19.95 all you can eat."
positive,The Thai ice tea was amazingly smooth and yummy!
negative,What I didn't like was how the food came right after it was ordered.
positive,I think I've had some the best meals of my life at minnow.
conflict,My biggest complaint was the un-tasty food although presented well.
positive,"Most importantly, food is excellent."
neutral,"However, service was as plain as sesame crusted Salmon I had."
neutral,The food was mediocre at best but it was the horrible service that made me vow never to go back.
positive,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting."
positive,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!"
positive,"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass."
positive,"The bread and lamb chops I had before the meal were quite good, however."
positive,one of the best Chicken Tikka Masala.
positive,"Excellent dumplings served amid clean, chic decor."
positive,"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square."
positive,"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places."
positive,"Service is great, takeout is good too."
positive,The pizza is overpriced and soggy.
positive,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city."
negative,"For the quality of food, a little too expensive."
positive,I've never had bad service and the fish is fresh and delicious.
neutral,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
positive,What an amazing meal and experience!
positive,Unique apppetizers.
neutral,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else."
positive,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
positive,The Thai food is good.
positive,"Great selection of wine, and seafood."
positive,delicious.
positive,"As I made the title, it's an affordable restaurant for great taste."
positive,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well."
positive,Great food at reasonable prices.
positive,Salads are a delicious way to begin the meal.
positive,"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways."
positive,Should you happen to be impressed by the cuisine definitely try it.
positive,"I had the black cod with yuzu sauce, which was wonderful."
negative,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food."
positive,- i asked for them spicy and they were delicious).
positive,"It is terrific, as is the value."
positive,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!
negative,The menu prices are a bit expensive for what you get in quality and portion size.
positive,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed."
negative,"The food was not fresh, the sauces were bland and very oily."
conflict,One of us actually liked the expresso - that's it.
positive,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
neutral,"The food was just OK, I would never go back."
positive,i recommend the thai popcorn :)
positive,"Everything looks great, the drinks, the decor, the food, even the people."
positive,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.
positive,The tuna and wasabe potatoes are excellent.
positive,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.
positive,Ummm...the beer was cold.
positive,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house."
positive,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch."
negative,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor."
positive,"The view is spectacular, and the food is great."
positive,Good bagels and good cream cheese.
positive,"The food is wonderful, tasty and filling, and the service is professional and friendly."
positive,I am happy i did the food was awsome.
negative,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone."
positive,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab."
positive,We could have made a meal of the yummy dumplings from the dumpling menu.
positive,"Then, get ripped on free box wine."
positive,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.
negative,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place."
neutral,The food itself was just ok - nothing spectacular - but the service was awful.
positive,The pizza is yummy and I like the atmoshpere.
negative,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it."
positive,Good food.
negative,"those rolls were big, but not good and sashimi wasn't fresh."
positive,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before."
positive,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great."
negative,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
conflict,Food was good not great not worth the wait or another visit
positive,"When you want a piece of beef, head on over."
positive,"Delicate spices, onions, eggs and a kick-ass roti."
positive,Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.
positive,The menu has lots of options: I hope to go back to try those potato pancakes.
positive,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions."
positive,Delicious crab cakes too.
positive,The bruschetta and panini's are so yummy!
neutral,"Food was okay, nothing great."
negative,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance."
positive,Best Pastrami I ever had and great portion without being ridiculous.
neutral,"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option."
positive,go here for the drinks!
conflict,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet."
negative,"Butter was melted, white wine warm, cheese oozing everywhere."
negative,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.
positive,Authentic Pakistani food.
positive,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce."
positive,"Quality ingredients preparation all around, and a very fair price for NYC."
negative,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner."
neutral,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.
neutral,"Its not curry in a slurry crap, and regular run of the mill food."
negative,"In fact, while leaving the place we saw two people looking at the menu, and I couldn't help telling them that the food was horrible."
negative,"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place."
positive,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful."
positive,"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it."
positive,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.
positive,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
neutral,"The food however, is what one might expect."
positive,I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!
positive,The pizza was really good.
negative,"Food is average, and I would say even the chain restaurant Baluchi's tastes better."
positive,The place is small and cramped but the food is fantastic.
positive,The food is tasty and portion sizes are appropriate.
positive,Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.
positive,The food there is so good that even to order out the wait is incredible.
positive,"Their sushi, Kamikaze and other Rolls are fresh and well presented."
positive,"For authentic Thai food, look no further than Toons."
negative,"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100."
positive,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent."
positive,"If anyones has doubt of not knowing enough about wines,please check their wine list."
positive,Have the iced tea.
conflict,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good."
